RFC                                               Feature Name
0320-nonzeroing-dynamic-drop.md                   (none for the bulk of RFC); unsafe_no_drop_flag
0529-conversion-traits.md                         convert
0809-box-and-in-for-stdlib.md                     box_syntax, placement_in_syntax
0823-hash-simplification.md                       hash
0832-from-elem-with-love.md                       direct to stable, because it modifies a stable macro
0839-embrace-extend-extinguish.md                 embrace-extend-extinguish
0840-no-panic-in-c-string.md                      non_panicky_cstring
0873-type-macros.md                               macros_in_type_positions
0879-small-base-lexing.md                         stable, it only restricts the language
0888-compiler-fence-intrinsics.md                 compiler_fence_intrinsics
0909-move-thread-local-to-std-thread.md           N/A
0911-const-fn.md                                  const_fn
0921-entry_v3.md                                  entry_v3
0940-hyphens-considered-harmful.md                hyphens_considered_harmful
0953-op-assign.md                                 op_assign
0968-closure-return-type-syntax.md                N/A
0979-align-splitn-with-other-languages.md         n/a
0980-read-exact.md                                read_exact
0982-dst-coercion.md                              dst_coercions
1011-process.exit.md                              exit
1014-stdout-existential-crisis.md                 stdout_existential_crisis
1023-rebalancing-coherence.md                     fundamental_attribute
1030-prelude-additions.md                         NA
1040-duration-reform.md                           duration
1044-io-fs-2.1.md                                 fs2
1047-socket-timeouts.md                           socket_timeouts
1048-rename-soft-link-to-symlink.md               rename_soft_link_to_symlink
1054-str-words.md                                 str-words
1057-io-error-sync.md                             io_error_sync
1058-slice-tail-redesign.md                       slice_tail_redesign
1066-safe-mem-forget.md                           N/A
1068-rust-governance.md                           not applicable
1096-remove-static-assert.md                      remove-static-assert
1102-rename-connect-to-join.md                    rename_connect_to_join
1105-api-evolution.md                             not applicable
1119-result-expect.md                             result_expect
1122-language-semver.md                           N/A
1123-str-split-at.md                              str_split_at
1131-likely-intrinsic.md                          expect_intrinsic
1135-raw-pointer-comparisons.md                   raw-pointer-comparisons
1152-slice-string-symmetry.md                     slice_string_symmetry
1156-adjust-default-object-bounds.md              N/A
1174-into-raw-fd-socket-handle-traits.md          into-raw-fd-socket-handle-traits
1183-swap-out-jemalloc.md                         allocator
1184-stabilize-no_std.md                          N/A
1191-hir.md                                       N/A
1192-inclusive-ranges.md                          inclusive_range_syntax
1193-cap-lints.md                                 N/A
1194-set-recovery.md                              set_recovery
1199-simd-infrastructure.md                       repr_simd, platform_intrinsics, cfg_target_feature
1200-cargo-install.md                             N/A
1201-naked-fns.md                                 naked_fns
1210-impl-specialization.md                       specialization
1211-mir.md                                       N/A
1212-line-endings.md                              line_endings
1214-projections-lifetimes-and-wf.md              N/A
1216-bang-type.md                                 bang_type
1219-use-group-as.md                              use_group_as
1228-placement-left-arrow.md                      place_left_arrow_syntax
1229-compile-time-asserts.md                      compile_time_asserts
1236-stabilize-catch-panic.md                     recover
1238-nonparametric-dropck.md                      dropck_parametricity
1240-repr-packed-unsafe-ref.md                    NA
1241-no-wildcard-deps.md                          N/A
1242-rust-lang-crates.md                          N/A
1252-open-options.md                              expand_open_options
1257-drain-range-2.md                             drain-range
1260-main-reexport.md                             main_reexport
1268-allow-overlapping-impls-on-marker-traits.md  overlapping_marker_traits
1270-deprecation.md                               Public Stability
1288-time-improvements.md                         time_improvements
1291-promote-libc.md                              N/A
1298-incremental-compilation.md                   incremental-compilation
1300-intrinsic-semantics.md                       intrinsic-semantics
1307-osstring-methods.md                          osstring_simple_functions
1317-ide.md                                       n/a
1327-dropck-param-eyepatch.md                     dropck_eyepatch, generic_param_attrs
