Feature Name                        Issue #  First Commit Timestamp     Latest Commit Timestamp
str_internals                       0        2015-08-12 17:23:48 -0700  2018-04-05 15:55:28 +0200
unsize                              27732    2015-08-26 19:07:44 -0400  2015-08-26 19:07:44 -0400
coerce_unsized                      27732    2015-11-16 19:54:28 +0300  2019-05-25 09:03:45 +0200
libstd_thread_internals             0        2015-11-16 19:54:28 +0300  2018-03-29 14:59:13 -0700
fmt_internals                       0        2015-11-16 21:01:06 +0300  2015-11-16 21:01:06 +0300
once_poison                         33577    2016-05-11 21:01:29 -0400  2016-05-11 21:01:29 -0400
update_panic_count                  0        2016-08-10 22:02:35 +0530  2016-08-10 22:02:35 +0530
integer_atomics                     32976    2016-10-14 15:31:15 -0400  2018-09-08 12:50:19 +0100
trusted_len                         37572    2016-11-04 00:24:59 +0100  2018-12-17 17:33:53 -0500
vec_remove_item                     40062    2016-12-03 12:47:27 -0400  2016-12-03 12:47:27 -0400
sort_internals                      0        2017-03-21 02:38:03 +0100  2017-03-21 02:38:03 +0100
print_internals                     0        2017-04-20 17:37:12 -0400  2017-04-20 17:37:12 -0400
vec_resize_default                  41758    2017-05-05 14:42:39 -0400  2017-05-05 14:42:39 -0400
libstd_io_internals                 42788    2017-05-14 21:29:18 -0400  2017-05-14 21:29:18 -0400
read_initializer                    42788    2017-05-14 21:29:18 -0400  2017-05-14 21:29:18 -0400
try_trait                           42327    2017-05-31 01:30:13 -0700  2017-06-07 22:51:45 -0500
fn_traits                           29625    2017-06-07 21:59:57 -0400  2017-06-07 21:59:57 -0400
generator_trait                     43122    2017-07-10 09:33:54 -0700  2018-11-06 19:47:18 +0100
drain_filter                        43244    2017-07-14 21:54:17 -0400  2017-12-09 01:09:23 -0700
map_entry_replace                   44286    2017-09-03 20:16:20 +0200  2017-10-09 21:06:20 +0200
deadline_api                        46316    2017-11-27 22:31:00 +0100  2017-11-27 22:31:00 +0100
slice_internals                     0        2017-12-13 01:02:19 -0600  2017-12-13 01:02:19 -0600
ptr_internals                       0        2017-12-22 19:29:16 +0100  2019-05-25 09:03:45 +0200
map_get_key_value                   49347    2017-12-25 00:00:04 +0000  2017-12-25 00:00:04 +0000
box_into_raw_non_null               47336    2018-01-10 21:11:55 +0100  2018-01-10 21:11:55 +0100
bufreader_seek_relative             31100    2018-01-11 22:18:16 +0000  2018-01-11 22:18:16 +0000
panic_info_message                  44489    2018-01-23 17:24:19 +0100  2018-01-23 17:24:19 +0100
range_is_empty                      48111    2018-02-09 18:01:12 -0800  2018-02-09 18:01:12 -0800
windows_file_type_ext               0        2018-02-11 13:40:46 -0500  2018-02-11 13:40:46 -0500
wait_timeout_until                  47960    2018-02-13 11:32:04 -0800  2018-02-13 11:32:04 -0800
wait_until                          47960    2018-02-13 11:32:04 -0800  2018-02-13 11:32:04 -0800
stdsimd                             48556    2018-02-17 17:23:19 -0800  2019-01-21 18:42:04 +0100
termination_trait_lib               43301    2018-02-22 17:36:55 -0500  2018-02-22 17:36:55 -0500
process_exitcode_placeholder        48711    2018-03-03 18:29:30 -0800  2018-03-03 18:29:30 -0800
wrapping_int_impl                   32463    2018-03-06 23:17:49 -0500  2018-03-26 16:46:04 -0400
try_reserve                         48043    2018-03-08 14:36:43 +0000  2019-02-20 11:13:35 +0000
